name;sku;department;category;url;image;price_to;discount;available;stock_qty;store;created_at;hour
ADOÇANTE  LÍQUIDO SUCRALOSE UNIÃO 65ML;9078;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/adocante-liquido-sucralose-uniao-65ml;https://d2om08pcbtz1n1.cloudfront.net/4e1f5bc8-b7f0-43a5-881a-8b05459384d7.jpg;9.69;;S;100;Shopper;2022-05-21;19:44:48
AÇÚCAR CRISTAL ORGÂNICO UNIÃO 1KG;224;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/acucar-cristal-organico-uniao-1kg;https://d2om08pcbtz1n1.cloudfront.net/57c9aec9-2709-4726-92a9-7a02da89c5db.jpg;6.99;9%;S;100;Shopper;2022-05-21;19:44:48
AÇÚCAR DEMERARA NATURALE UNIÃO 1KG;2728;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/acucar-demerara-naturale-uniao-1kg;https://d2om08pcbtz1n1.cloudfront.net/4afa24c2-b9e4-4074-aeb0-e4643b35be8c.jpg;6.69;9%;S;100;Shopper;2022-05-21;19:44:48
AÇÚCAR REFINADO GRANULADO EM CUBOS PREMIUM UNIÃO 250G;2939;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/acucar-refinado-granulado-em-cubos-premium-uniao-250g;https://d2om08pcbtz1n1.cloudfront.net/493cf70f-4e5f-47c1-a131-4704a140cf53.jpg;8.79;14%;S;100;Shopper;2022-05-21;19:44:48
AÇÚCAR REFINADO GRANULADO PREMIUM UNIÃO 1KG;9079;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/acucar-refinado-granulado-premium-uniao-1kg;https://d2om08pcbtz1n1.cloudfront.net/d445a555-bfc3-45e0-b5e4-b4acd0c4aba4.jpg;6.99;;S;100;Shopper;2022-05-21;19:44:48
AÇÚCAR UNIÃO MASCAVO 1KG;12512;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/acucar-uniao-mascavo-1kg;https://d2om08pcbtz1n1.cloudfront.net/285bae54-f611-4689-89e6-c642c05dc0f7.jpg;18.99;;S;100;Shopper;2022-05-21;19:44:48
AÇÚCAR REFINADO FIT UNIÃO 500G;564;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/acucar-refinado-light-uniao-fit-500g;https://d2om08pcbtz1n1.cloudfront.net/7ca05ef6-23cf-409c-8128-5843a4398210.jpg;4.69;14%;S;100;Shopper;2022-05-21;19:44:48
AÇÚCAR REFINADO UNIÃO 1KG;230;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/acucar-refinado-uniao-1kg;https://d2om08pcbtz1n1.cloudfront.net/aafa7ccf-1929-48a1-810e-444e1a87faf9.jpg;4.79;6%;S;100;Shopper;2022-05-21;19:44:48
AÇÚCAR CRISTAL UNIÃO 1KG;555;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/acucar-cristal-uniao-1kg;https://d2om08pcbtz1n1.cloudfront.net/277d5e7e-8dd4-4ebf-ae7f-df1736c0ddec.jpg;5.49;3%;S;100;Shopper;2022-05-21;19:44:48
AÇÚCAR DE CONFEITEIRO GLAÇÚCAR UNIÃO 500G;560;Alimentos;Açúcar e Adoçantes;https://programada.shopper.com.br/shop-cn/acucar-de-confeiteiro-uniao-glacucar-500g;https://d2om08pcbtz1n1.cloudfront.net/36e32f39-48ae-497c-829c-4618965c06cb.jpg;3.59;6%;S;100;Shopper;2022-05-21;19:44:48
